,,,,,,,,,,,,,
Block Load Profile Report From 01-May-2019 To 10-May-2019,,,,,,,,,,,,,
Consumer Number:,,Consumer Name:,,Substation Name:,ABCD,Feeder Name:,A1,Dtr Name:,DTR2,Meter Number:,,Contracted Load(kW):,2.1
S.No., Captured Date and Time,,,,,Active Energy(kWh),,Apparent Energy(kVAh),,Average Voltage(V),Average Current(A),Neutral Current(A),Status Byte
,,,,,,Import,Export,Import,Export,,,,
1,01-May-2019 00:00:00,,,,,0.055,0.000,0.090 ,0.000 ,244.710,1.470,0.000,-
2,01-May-2019 00:15:00,,,,,0.030,0.000,0.072 ,0.000 ,245.330,1.160,0.000,-
3,01-May-2019 00:30:00,,,,,0.025,0.000,0.057 ,0.000 ,245.570,0.920,0.000,-
4,01-May-2019 00:45:00,,,,,0.025,0.000,0.056 ,0.000 ,246.770,0.900,0.000,-
5,01-May-2019 01:00:00,,,,,0.028,0.000,0.070 ,0.000 ,247.020,1.130,0.000,-
6,01-May-2019 01:15:00,,,,,0.033,0.000,0.078 ,0.000 ,247.350,1.250,0.000,-
7,01-May-2019 01:30:00,,,,,0.030,0.000,0.071 ,0.000 ,247.650,1.140,0.000,-
8,01-May-2019 01:45:00,,,,,0.021,0.000,0.025 ,0.000 ,247.980,0.400,0.000,-
9,01-May-2019 02:00:00,,,,,0.021,0.000,0.027 ,0.000 ,248.380,0.420,0.000,-
10,01-May-2019 02:15:00,,,,,0.021,0.000,0.022 ,0.000 ,249.430,0.340,0.000,-
11,01-May-2019 02:30:00,,,,,0.022,0.000,0.035 ,0.000 ,250.030,0.550,0.000,-
12,01-May-2019 02:45:00,,,,,0.024,0.000,0.043 ,0.000 ,250.510,0.690,0.000,-
13,01-May-2019 03:00:00,,,,,0.023,0.000,0.042 ,0.000 ,251.090,0.660,0.000,-
14,01-May-2019 03:15:00,,,,,0.023,0.000,0.034 ,0.000 ,253.270,0.530,0.000,-
15,01-May-2019 03:30:00,,,,,0.027,0.000,0.028 ,0.000 ,253.520,0.450,0.000,-
16,01-May-2019 03:45:00,,,,,0.022,0.000,0.028 ,0.000 ,253.570,0.420,0.000,-
17,01-May-2019 04:00:00,,,,,0.023,0.000,0.029 ,0.000 ,253.860,0.460,0.000,-
18,01-May-2019 04:15:00,,,,,0.023,0.000,0.033 ,0.000 ,253.870,0.510,0.000,-
19,01-May-2019 04:30:00,,,,,0.023,0.000,0.035 ,0.000 ,254.070,0.550,0.000,-
20,01-May-2019 04:45:00,,,,,0.022,0.000,0.033 ,0.000 ,254.250,0.500,0.000,-
21,01-May-2019 05:00:00,,,,,0.021,0.000,0.021 ,0.000 ,254.770,0.330,0.000,-
22,01-May-2019 05:15:00,,,,,0.022,0.000,0.022 ,0.000 ,255.300,0.330,0.000,-
23,01-May-2019 05:30:00,,,,,0.021,0.000,0.024 ,0.000 ,255.400,0.370,0.000,-
24,01-May-2019 05:45:00,,,,,0.021,0.000,0.022 ,0.000 ,255.470,0.340,0.000,-
25,01-May-2019 06:00:00,,,,,0.022,0.000,0.022 ,0.000 ,255.770,0.330,0.000,-
26,01-May-2019 06:15:00,,,,,0.014,0.000,0.026 ,0.000 ,256.050,0.400,0.000,-
27,01-May-2019 06:30:00,,,,,0.007,0.000,0.027 ,0.000 ,255.960,0.410,0.000,-
28,01-May-2019 06:45:00,,,,,0.004,0.000,0.040 ,0.000 ,256.130,0.610,0.000,-
29,01-May-2019 07:00:00,,,,,0.007,0.000,0.037 ,0.000 ,256.070,0.580,0.000,-
30,01-May-2019 07:15:00,,,,,0.006,0.000,0.033 ,0.000 ,256.730,0.510,0.000,-
31,01-May-2019 07:30:00,,,,,0.010,0.000,0.020 ,0.000 ,256.630,0.300,0.000,-
32,01-May-2019 07:45:00,,,,,0.008,0.000,0.036 ,0.000 ,256.890,0.550,0.000,-
33,01-May-2019 08:00:00,,,,,0.008,0.000,0.044 ,0.000 ,256.820,0.690,0.000,-
34,01-May-2019 08:15:00,,,,,0.007,0.000,0.050 ,0.000 ,256.900,0.760,0.000,-
35,01-May-2019 08:30:00,,,,,0.003,0.000,0.039 ,0.000 ,255.700,0.610,0.000,-
36,01-May-2019 08:45:00,,,,,0.026,0.000,0.052 ,0.000 ,254.270,0.820,0.000,-
37,01-May-2019 09:00:00,,,,,0.031,0.000,0.058 ,0.000 ,253.510,0.940,0.000,-
38,01-May-2019 09:15:00,,,,,0.124,0.000,0.160 ,0.000 ,252.410,2.550,0.000,-
39,01-May-2019 09:30:00,,,,,0.388,0.000,0.430 ,0.000 ,250.080,6.870,0.000,-
40,01-May-2019 09:45:00,,,,,0.344,0.000,0.379 ,0.000 ,248.920,6.080,0.000,-
41,01-May-2019 10:00:00,,,,,0.050,0.000,0.074 ,0.000 ,249.000,1.190,0.000,-
42,01-May-2019 10:15:00,,,,,0.077,0.000,0.081 ,0.000 ,248.150,1.350,0.000,-
43,01-May-2019 10:30:00,,,,,0.078,0.000,0.082 ,0.000 ,247.300,1.360,0.000,-
44,01-May-2019 10:45:00,,,,,0.181,0.000,0.196 ,0.000 ,246.100,3.170,0.000,-
