,,,,,,,,,,,,,
Block Load Profile Report From 01-May-2019 To 10-May-2019,,,,,,,,,,,,,
Consumer Number:,,Consumer Name:,,Substation Name:,ABCD,Feeder Name:,A1,Dtr Name:,DTR2,Meter Number:,,Contracted Load(kW):,3
S.No., Captured Date and Time,,,,,Active Energy(kWh),,Apparent Energy(kVAh),,Average Voltage(V),Average Current(A),Neutral Current(A),Status Byte
,,,,,,Import,Export,Import,Export,,,,
1,01-May-2019 00:00:00,,,,,0.301,0.000,0.317 ,0.000 ,241.610,5.230,0.000,-
2,01-May-2019 00:15:00,,,,,0.430,0.000,0.453 ,0.000 ,241.800,7.490,0.000,-
3,01-May-2019 00:30:00,,,,,0.313,0.000,0.339 ,0.000 ,242.900,5.560,0.000,-
4,01-May-2019 00:45:00,,,,,0.412,0.000,0.435 ,0.000 ,243.270,7.140,0.000,-
5,01-May-2019 01:00:00,,,,,0.264,0.000,0.281 ,0.000 ,245.220,4.570,0.000,-
6,01-May-2019 01:15:00,,,,,0.346,0.000,0.374 ,0.000 ,246.130,6.060,0.000,-
7,01-May-2019 01:30:00,,,,,0.035,0.000,0.048 ,0.000 ,247.140,0.770,0.000,-
8,01-May-2019 01:45:00,,,,,0.018,0.000,0.018 ,0.000 ,247.480,0.280,0.000,-
9,01-May-2019 02:00:00,,,,,0.027,0.000,0.033 ,0.000 ,248.130,0.530,0.000,-
10,01-May-2019 02:15:00,,,,,0.240,0.000,0.268 ,0.000 ,248.810,4.300,0.000,-
11,01-May-2019 02:30:00,,,,,0.316,0.000,0.343 ,0.000 ,249.650,5.500,0.000,-
12,01-May-2019 02:45:00,,,,,0.343,0.000,0.369 ,0.000 ,251.090,5.860,0.000,-
13,01-May-2019 03:00:00,,,,,0.325,0.000,0.361 ,0.000 ,251.450,5.740,0.000,-
14,01-May-2019 03:15:00,,,,,0.212,0.000,0.237 ,0.000 ,252.120,3.750,0.000,-
15,01-May-2019 03:30:00,,,,,0.017,0.000,0.018 ,0.000 ,252.930,0.280,0.000,-
16,01-May-2019 03:45:00,,,,,0.032,0.000,0.041 ,0.000 ,253.040,0.650,0.000,-
17,01-May-2019 04:00:00,,,,,0.376,0.000,0.420 ,0.000 ,253.430,6.600,0.000,-
18,01-May-2019 04:15:00,,,,,0.366,0.000,0.401 ,0.000 ,254.040,6.300,0.000,-
19,01-May-2019 04:30:00,,,,,0.302,0.000,0.333 ,0.000 ,254.540,5.220,0.000,-
20,01-May-2019 04:45:00,,,,,0.270,0.000,0.308 ,0.000 ,254.300,4.850,0.000,-
21,01-May-2019 05:00:00,,,,,0.361,0.000,0.400 ,0.000 ,254.210,6.270,0.000,-
22,01-May-2019 05:15:00,,,,,0.256,0.000,0.283 ,0.000 ,254.780,4.430,0.000,-
23,01-May-2019 05:30:00,,,,,0.251,0.000,0.282 ,0.000 ,254.080,4.430,0.000,-
24,01-May-2019 05:45:00,,,,,0.035,0.000,0.047 ,0.000 ,253.780,0.720,0.000,-
25,01-May-2019 06:00:00,,,,,0.024,0.000,0.024 ,0.000 ,254.380,0.380,0.000,-
26,01-May-2019 06:15:00,,,,,0.041,0.000,0.048 ,0.000 ,255.630,0.740,0.000,-
27,01-May-2019 06:30:00,,,,,0.058,0.000,0.071 ,0.000 ,256.030,1.110,0.000,-
28,01-May-2019 06:45:00,,,,,0.183,0.000,0.186 ,0.000 ,256.360,2.890,0.000,-
29,01-May-2019 07:00:00,,,,,0.428,0.000,0.432 ,0.000 ,255.560,6.740,0.000,-
30,01-May-2019 07:15:00,,,,,0.097,0.000,0.110 ,0.000 ,256.740,1.710,0.000,-
31,01-May-2019 07:30:00,,,,,0.062,0.000,0.069 ,0.000 ,256.590,1.070,0.000,-
32,01-May-2019 07:45:00,,,,,0.113,0.000,0.116 ,0.000 ,256.320,1.820,0.000,-
33,01-May-2019 08:00:00,,,,,0.526,0.000,0.530 ,0.000 ,255.610,8.260,0.000,-
34,01-May-2019 08:15:00,,,,,0.065,0.000,0.075 ,0.000 ,256.480,1.170,0.000,-
35,01-May-2019 08:30:00,,,,,0.019,0.000,0.032 ,0.000 ,255.560,0.500,0.000,-
36,01-May-2019 08:45:00,,,,,0.012,0.000,0.022 ,0.000 ,254.660,0.330,0.000,-
37,01-May-2019 09:00:00,,,,,0.046,0.000,0.058 ,0.000 ,254.730,0.910,0.000,-
38,01-May-2019 09:15:00,,,,,0.029,0.000,0.043 ,0.000 ,254.960,0.670,0.000,-
39,01-May-2019 09:30:00,,,,,0.015,0.000,0.024 ,0.000 ,252.480,0.380,0.000,-
40,01-May-2019 09:45:00,,,,,0.015,0.000,0.027 ,0.000 ,252.360,0.420,0.000,-
41,01-May-2019 10:00:00,,,,,0.022,0.000,0.040 ,0.000 ,251.520,0.630,0.000,-
42,01-May-2019 10:15:00,,,,,0.020,0.000,0.025 ,0.000 ,251.270,0.390,0.000,-
43,01-May-2019 10:30:00,,,,,0.042,0.000,0.047 ,0.000 ,250.120,0.740,0.000,-
44,01-May-2019 10:45:00,,,,,0.034,0.000,0.049 ,0.000 ,249.390,0.780,0.000,-
