,,,,,,,,,,,,,
Block Load Profile Report From 01-May-2019 To 10-May-2019,,,,,,,,,,,,,
Consumer Number:,,Consumer Name:,,Substation Name:,ABCD,Feeder Name:,A1,Dtr Name:,DTR2,Meter Number:,,Contracted Load(kW):,2.1
S.No., Captured Date and Time,,,,,Active Energy(kWh),,Apparent Energy(kVAh),,Average Voltage(V),Average Current(A),Neutral Current(A),Status Byte
,,,,,,Import,Export,Import,Export,,,,
1,01-May-2019 00:00:00,,,,,0.083,0.000,0.104 ,0.000 ,246.390,1.670,0.000,-
2,01-May-2019 00:15:00,,,,,0.080,0.000,0.095 ,0.000 ,246.650,1.530,0.000,-
3,01-May-2019 00:30:00,,,,,0.080,0.000,0.094 ,0.000 ,247.170,1.520,0.000,-
4,01-May-2019 00:45:00,,,,,0.081,0.000,0.096 ,0.000 ,247.980,1.530,0.000,-
5,01-May-2019 01:00:00,,,,,0.081,0.000,0.095 ,0.000 ,248.400,1.530,0.000,-
6,01-May-2019 01:15:00,,,,,0.082,0.000,0.096 ,0.000 ,249.040,1.530,0.000,-
7,01-May-2019 01:30:00,,,,,0.086,0.000,0.096 ,0.000 ,250.030,1.520,0.000,-
8,01-May-2019 01:45:00,,,,,0.092,0.000,0.095 ,0.000 ,250.250,1.510,0.000,-
9,01-May-2019 02:00:00,,,,,0.088,0.000,0.092 ,0.000 ,250.740,1.460,0.000,-
10,01-May-2019 02:15:00,,,,,0.064,0.000,0.073 ,0.000 ,251.820,1.160,0.000,-
11,01-May-2019 02:30:00,,,,,0.087,0.000,0.102 ,0.000 ,252.240,1.610,0.000,-
12,01-May-2019 02:45:00,,,,,0.086,0.000,0.101 ,0.000 ,252.970,1.590,0.000,-
13,01-May-2019 03:00:00,,,,,0.085,0.000,0.101 ,0.000 ,253.650,1.580,0.000,-
14,01-May-2019 03:15:00,,,,,0.086,0.000,0.101 ,0.000 ,255.740,1.580,0.000,-
15,01-May-2019 03:30:00,,,,,0.085,0.000,0.101 ,0.000 ,255.830,1.570,0.000,-
16,01-May-2019 03:45:00,,,,,0.085,0.000,0.100 ,0.000 ,255.940,1.560,0.000,-
17,01-May-2019 04:00:00,,,,,0.085,0.000,0.101 ,0.000 ,256.100,1.560,0.000,-
18,01-May-2019 04:15:00,,,,,0.084,0.000,0.100 ,0.000 ,256.300,1.560,0.000,-
19,01-May-2019 04:30:00,,,,,0.076,0.000,0.094 ,0.000 ,256.630,1.470,0.000,-
20,01-May-2019 04:45:00,,,,,0.076,0.000,0.095 ,0.000 ,256.620,1.460,0.000,-
21,01-May-2019 05:00:00,,,,,0.075,0.000,0.094 ,0.000 ,256.840,1.460,0.000,-
22,01-May-2019 05:15:00,,,,,0.076,0.000,0.095 ,0.000 ,257.470,1.460,0.000,-
23,01-May-2019 05:30:00,,,,,0.075,0.000,0.093 ,0.000 ,256.880,1.450,0.000,-
24,01-May-2019 05:45:00,,,,,0.073,0.000,0.093 ,0.000 ,256.780,1.440,0.000,-
25,01-May-2019 06:00:00,,,,,0.076,0.000,0.096 ,0.000 ,256.770,1.490,0.000,-
26,01-May-2019 06:15:00,,,,,0.092,0.000,0.113 ,0.000 ,256.860,1.750,0.000,-
27,01-May-2019 06:30:00,,,,,0.106,0.000,0.117 ,0.000 ,256.510,1.810,0.000,-
28,01-May-2019 06:45:00,,,,,0.113,0.000,0.124 ,0.000 ,256.870,1.930,0.000,-
29,01-May-2019 07:00:00,,,,,0.086,0.000,0.100 ,0.000 ,256.790,1.540,0.000,-
30,01-May-2019 07:15:00,,,,,0.069,0.000,0.081 ,0.000 ,257.360,1.250,0.000,-
31,01-May-2019 07:30:00,,,,,0.083,0.000,0.090 ,0.000 ,257.370,1.400,0.000,-
32,01-May-2019 07:45:00,,,,,0.078,0.000,0.087 ,0.000 ,257.530,1.340,0.000,-
33,01-May-2019 08:00:00,,,,,0.107,0.000,0.116 ,0.000 ,257.250,1.810,0.000,-
34,01-May-2019 08:15:00,,,,,0.099,0.000,0.106 ,0.000 ,257.240,1.640,0.000,-
35,01-May-2019 08:30:00,,,,,0.090,0.000,0.096 ,0.000 ,256.410,1.490,0.000,-
36,01-May-2019 08:45:00,,,,,0.083,0.000,0.088 ,0.000 ,254.850,1.370,0.000,-
37,01-May-2019 09:00:00,,,,,0.091,0.000,0.097 ,0.000 ,253.940,1.510,0.000,-
38,01-May-2019 09:15:00,,,,,0.112,0.000,0.141 ,0.000 ,253.120,2.230,0.000,-
39,01-May-2019 09:30:00,,,,,0.164,0.000,0.243 ,0.000 ,251.320,3.850,0.000,-
40,01-May-2019 09:45:00,,,,,0.146,0.000,0.225 ,0.000 ,249.850,3.590,0.000,-
41,01-May-2019 10:00:00,,,,,0.098,0.000,0.108 ,0.000 ,249.310,1.730,0.000,-
42,01-May-2019 10:15:00,,,,,0.112,0.000,0.124 ,0.000 ,248.820,1.970,0.000,-
43,01-May-2019 10:30:00,,,,,0.127,0.000,0.137 ,0.000 ,248.050,2.200,0.000,-
44,01-May-2019 10:45:00,,,,,0.131,0.000,0.137 ,0.000 ,247.590,2.220,0.000,-
