,,,,,,,,,,,,,
Block Load Profile Report From 01-May-2019 To 10-May-2019,,,,,,,,,,,,,
Consumer Number:,,Consumer Name:,,Substation Name:,ABCD,Feeder Name:,A1,Dtr Name:,DTR2,Meter Number:,,Contracted Load(kW):,6
S.No., Captured Date and Time,,,,,Active Energy(kWh),,Apparent Energy(kVAh),,Average Voltage(V),Average Current(A),Neutral Current(A),Status Byte
,,,,,,Import,Export,Import,Export,,,,
1,01-May-2019 00:00:00,,,,,0.032,0.000,0.037 ,0.000 ,246.580,0.590,0.000,-
2,01-May-2019 00:15:00,,,,,0.030,0.000,0.035 ,0.000 ,246.840,0.570,0.000,-
3,01-May-2019 00:30:00,,,,,0.030,0.000,0.035 ,0.000 ,247.340,0.550,0.000,-
4,01-May-2019 00:45:00,,,,,0.032,0.000,0.037 ,0.000 ,248.170,0.600,0.000,-
5,01-May-2019 01:00:00,,,,,0.030,0.000,0.036 ,0.000 ,248.580,0.570,0.000,-
6,01-May-2019 01:15:00,,,,,0.029,0.000,0.035 ,0.000 ,249.220,0.550,0.000,-
7,01-May-2019 01:30:00,,,,,0.035,0.000,0.039 ,0.000 ,250.220,0.630,0.000,-
8,01-May-2019 01:45:00,,,,,0.046,0.000,0.048 ,0.000 ,250.440,0.760,0.000,-
9,01-May-2019 02:00:00,,,,,0.019,0.000,0.029 ,0.000 ,250.920,0.460,0.000,-
10,01-May-2019 02:15:00,,,,,0.041,0.000,0.047 ,0.000 ,252.010,0.740,0.000,-
11,01-May-2019 02:30:00,,,,,0.038,0.000,0.044 ,0.000 ,252.440,0.690,0.000,-
12,01-May-2019 02:45:00,,,,,0.037,0.000,0.043 ,0.000 ,253.140,0.670,0.000,-
13,01-May-2019 03:00:00,,,,,0.035,0.000,0.041 ,0.000 ,253.850,0.640,0.000,-
14,01-May-2019 03:15:00,,,,,0.032,0.000,0.040 ,0.000 ,255.960,0.610,0.000,-
15,01-May-2019 03:30:00,,,,,0.034,0.000,0.041 ,0.000 ,256.000,0.640,0.000,-
16,01-May-2019 03:45:00,,,,,0.032,0.000,0.039 ,0.000 ,256.130,0.600,0.000,-
17,01-May-2019 04:00:00,,,,,0.032,0.000,0.039 ,0.000 ,256.290,0.600,0.000,-
18,01-May-2019 04:15:00,,,,,0.032,0.000,0.040 ,0.000 ,256.470,0.610,0.000,-
19,01-May-2019 04:30:00,,,,,0.031,0.000,0.038 ,0.000 ,256.810,0.590,0.000,-
20,01-May-2019 04:45:00,,,,,0.031,0.000,0.039 ,0.000 ,256.790,0.600,0.000,-
21,01-May-2019 05:00:00,,,,,0.032,0.000,0.039 ,0.000 ,257.020,0.600,0.000,-
22,01-May-2019 05:15:00,,,,,0.029,0.000,0.036 ,0.000 ,257.630,0.570,0.000,-
23,01-May-2019 05:30:00,,,,,0.032,0.000,0.039 ,0.000 ,257.060,0.600,0.000,-
24,01-May-2019 05:45:00,,,,,0.031,0.000,0.038 ,0.000 ,256.970,0.580,0.000,-
25,01-May-2019 06:00:00,,,,,0.029,0.000,0.037 ,0.000 ,256.960,0.560,0.000,-
26,01-May-2019 06:15:00,,,,,0.032,0.000,0.038 ,0.000 ,257.030,0.600,0.000,-
27,01-May-2019 06:30:00,,,,,0.030,0.000,0.037 ,0.000 ,256.690,0.570,0.000,-
28,01-May-2019 06:45:00,,,,,0.029,0.000,0.037 ,0.000 ,257.070,0.560,0.000,-
29,01-May-2019 07:00:00,,,,,0.032,0.000,0.039 ,0.000 ,256.980,0.600,0.000,-
30,01-May-2019 07:15:00,,,,,0.030,0.000,0.037 ,0.000 ,257.530,0.570,0.000,-
31,01-May-2019 07:30:00,,,,,0.029,0.000,0.036 ,0.000 ,257.550,0.560,0.000,-
32,01-May-2019 07:45:00,,,,,0.032,0.000,0.039 ,0.000 ,257.740,0.600,0.000,-
33,01-May-2019 08:00:00,,,,,0.029,0.000,0.037 ,0.000 ,257.410,0.560,0.000,-
34,01-May-2019 08:15:00,,,,,0.029,0.000,0.036 ,0.000 ,257.380,0.560,0.000,-
35,01-May-2019 08:30:00,,,,,0.032,0.000,0.038 ,0.000 ,256.590,0.590,0.000,-
36,01-May-2019 08:45:00,,,,,0.029,0.000,0.036 ,0.000 ,255.020,0.550,0.000,-
37,01-May-2019 09:00:00,,,,,0.029,0.000,0.036 ,0.000 ,254.130,0.560,0.000,-
38,01-May-2019 09:15:00,,,,,0.031,0.000,0.037 ,0.000 ,253.270,0.580,0.000,-
39,01-May-2019 09:30:00,,,,,0.029,0.000,0.035 ,0.000 ,251.450,0.540,0.000,-
40,01-May-2019 09:45:00,,,,,0.030,0.000,0.035 ,0.000 ,249.990,0.560,0.000,-
41,01-May-2019 10:00:00,,,,,0.031,0.000,0.036 ,0.000 ,249.510,0.570,0.000,-
42,01-May-2019 10:15:00,,,,,0.028,0.000,0.034 ,0.000 ,249.010,0.540,0.000,-
43,01-May-2019 10:30:00,,,,,0.030,0.000,0.035 ,0.000 ,248.230,0.560,0.000,-
44,01-May-2019 10:45:00,,,,,0.030,0.000,0.036 ,0.000 ,247.790,0.570,0.000,-
